ID,longitude,latitude,date_time,b,t
2001-2013,5.4246029,52.9204147,5/10/2013 16:26,1,5/10/2013 16:26
2001-2013,5.42511,52.9200442,5/10/2013 16:36,1,5/10/2013 16:36
2001-2013,5.4249537,52.9201324,5/10/2013 16:46,1,5/10/2013 16:46
2001-2013,5.424957,52.9201256,5/10/2013 16:56,1,5/10/2013 16:56
2001-2013,5.4249591,52.9201393,5/10/2013 17:05,1,5/10/2013 17:05
2001-2013,5.4249244,52.9201292,5/10/2013 17:16,1,5/10/2013 17:16
2001-2013,5.424934,52.9201275,5/10/2013 17:26,1,5/10/2013 17:26
2001-2013,5.4249161,52.9200787,5/10/2013 17:36,1,5/10/2013 17:36
2001-2013,5.4249499,52.9201828,5/10/2013 17:46,1,5/10/2013 17:46
2001-2013,5.4240138,52.920332,5/10/2013 17:57,1,5/10/2013 17:57
2001-2013,5.4240516,52.9204539,5/10/2013 18:07,1,5/10/2013 18:07
2001-2013,5.4241473,52.9203462,5/10/2013 18:18,1,5/10/2013 18:18
2001-2013,5.4246094,52.9203577,5/10/2013 18:28,1,5/10/2013 18:28
2001-2013,5.4245558,52.920384,5/10/2013 18:38,1,5/10/2013 18:38
2001-2013,5.4244878,52.9204143,5/10/2013 18:48,1,5/10/2013 18:48
2001-2013,5.4244415,52.9204794,5/10/2013 18:57,1,5/10/2013 18:57
